Agents,k=0,k=1,k=2,k=3,k=4,k=5,k=6,k=7
5,17.20,17.38,18.72,19.16,19.69,21.76,21.16,22.32
10,19.64,23.50,26.60,29.44,27.28,29.02,31.10,34.80
15,20.74,32.20,35.04,38.49,45.06,41.37,45.15,48.28
