Agents,k=0,k=1,k=2,k=3,k=4,k=5,k=6,k=7
5,53.16,53.86,56.86,58.34,59.90,63.08,63.38,65.36
10,114.54,124.68,134.08,142.26,142.60,154.02,162.34,173.22
15,177.26,223.08,229.46,249.20,275.56,273.76,300.62,327.30
