Agents,k=0,k=1,k=2,k=3,k=4,k=5,k=6,k=7
5,618.29,1532.18,2701.87,3304.67,3675.60,3905.17,4202.15,4205.92
10,3365.42,5003.33,5003.76,5003.86,4903.47,5003.27,5003.61,5003.46
15,4504.79,5003.47,5004.12,5004.54,5002.88,5002.89,5003.67,5003.43
